"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1.05265290822826,1.0494684157146,1.12060743616754,1.1033356196856,1.11838956451164,1.10817210855924,1.14090648558316,1.14057405928278,1.12543808705286,1.12206260091748,1.16141475340547,1.19810150218637,1.19891012138745,1.2430122962093,1.24378082934427,1.23843511295116,1.30020399269497,1.29064711313563,1.254520621281
"2",1.10074215127768,1.09965264076813,1.1080251906007,1.0983229740276,1.11018415066042,1.11621346956621,1.12682710879407,1.1540742823227,1.14218731056022,1.13188911568505,1.14454930121209,1.13466104488767,1.1534332521677,1.1654312135887,1.1729349007138,1.19073521960009,1.1919564173475,1.21918958585445,1.22882649045505
"3",1.1354128492522,1.13541971646059,1.1390956926421,1.14283130747888,1.14320138186255,1.13849501871713,1.12967792828689,1.15609173236447,1.16565749209025,1.14798186127004,1.14945901533865,1.13575563549053,1.15330996783181,1.1551974822451,1.1572858566153,1.169772647107,1.18991466005922,1.17230904390689,1.16904496048749
"4",1.11033784522484,1.11049200035491,1.11707876014768,1.12577433388067,1.13453852822066,1.12611707316058,1.13075780168249,1.13772213420862,1.15063932918155,1.1469920834813,1.14249709775095,1.15016209357972,1.1511688741261,1.15775097801828,1.16384393733187,1.15934325657601,1.16660496862706,1.16799331934158,1.1589557507737
"5",1.02523062425466,1.02523277256766,1.04468398616113,1.06729148270143,1.0847250083611,1.09723924396246,1.11505494373388,1.10387744982727,1.12081791059008,1.13373283660955,1.13216660653971,1.14271414435001,1.13924437845172,1.11290892237855,1.13243540674023,1.13204519856591,1.14523015330213,1.16816118705784,1.17044872246032
"6",1.02583792840567,1.02572178337104,1.02816934015918,1.04234033610732,1.0539538796628,1.06749446544178,1.08020349407598,1.09431152629471,1.1026803064659,1.09217789786304,1.07576580240192,1.08854749386992,1.08218528920838,1.10309153777266,1.11507073674837,1.11857510324159,1.1215976788991,1.13496203529202,1.14547456596368
"7",0.9165601427602,0.916396444233851,0.946987680271931,0.947574738257622,0.970389044364014,0.991823235688894,1.00246977561339,1.03027791545457,1.04390643295446,1.03533595699483,1.03825702504751,1.03776191061358,1.06110919233385,1.07064995507574,1.09393760988617,1.10963307358847,1.10034582730707,1.09830649664558,1.11496770703104
"8",1.06352497750981,1.06339712382991,1.04787480503935,1.03618414723816,1.01403520196222,1.01792962952368,1.0165101727148,1.03128838582869,1.03131668344994,1.06211799057306,1.06309079911695,1.05757640687231,1.06731197686999,1.05888315361397,1.07692584485989,1.08633483950848,1.09256652878391,1.1180247362469,1.12290119119388
"9",1.02695319003963,1.02689576569243,1.02864387317904,1.03073611597257,1.03489918910652,1.03683955796563,1.03470410660421,1.03410172803793,1.03602636353369,1.04902321844612,1.05746863261099,1.07470954650517,1.07230134665689,1.07343827229408,1.07492933913262,1.07156815108386,1.08170579254247,1.09343664115449,1.10039782866659
"10",1.06436645706871,1.06419969433225,1.04704667781684,1.04394358770821,1.04953896590028,1.03712988656142,1.03867882689269,1.0248133398331,1.02994947313473,1.0071631664819,1.01887358052312,1.02578454071779,1.03007832799489,1.03921960638541,1.03269692404233,1.04255314852313,1.0477737999235,1.05660774655177,1.05927152097139
"11",1.02807087927387,1.02793438967947,1.0290105632557,1.01868772433932,1.01943556341887,1.02830065246972,1.01323525678184,1.01329135025795,1.02004262580674,1.02665687686412,1.04190746693594,1.03710534972607,1.04135080481368,1.04765720406724,1.05059302628676,1.05771778963922,1.04434057569728,1.0298043209078,1.03134304730469
"12",1.07745305397294,1.07731990226637,1.05393630147248,1.03020981499216,1.02109733538982,1.02414315206611,1.00004366147054,1.0077935543281,1.00915040246874,1.0214537654727,1.03066803039771,1.03626241917002,1.04764639279166,1.05876125773858,1.05016849849809,1.05299010652624,1.03325567512928,1.04820431478509,1.05751993239488
"13",1.0531739719389,1.05309164194084,1.05431371199488,1.0327971948014,1.02392346360191,1.01461546360984,1.02072366290345,1.02183467850294,1.02418452739747,1.02064114364022,1.0243322491901,1.02530405678991,1.0123181083521,1.00898926665244,1.01841160025292,1.03049622817831,1.04261090746508,1.02207622747758,1.02857572328616
"14",1.10117765756899,1.10136442780115,1.08868593559839,1.09651424091342,1.08395049161462,1.05579150533595,1.06507941076163,1.04790326439485,1.0432439576717,1.04553445339194,1.0416583268473,1.03313115317392,1.03396449506945,1.04065869027986,1.03757036331333,1.02161166034928,1.02804677938048,1.0417676809138,1.04257107432752
"15",1.11253262254293,1.11280396821694,1.1159776692306,1.11321162477966,1.10466697529936,1.08882062618962,1.09310821089099,1.08563975091804,1.05690326476094,1.04700279248775,1.04520182427999,1.03302826268167,1.03584713691669,1.03802404999063,1.04450302956823,1.01020516498293,1.01503866564986,1.0253901450827,1.01926095433687
"16",1.11231275443571,1.11247623490209,1.10315563687769,1.1186659194079,1.11418264357841,1.11161637196587,1.11354603420204,1.11166170183296,1.09435533440204,1.08502294333172,1.07608798259903,1.07822759317166,1.06956364763825,1.06571170052141,1.04988993498098,1.04853848954499,1.04708520315763,1.04684539354351,1.03187432976883
"17",1.08722172241315,1.08743181647652,1.09690137634484,1.0930368140771,1.09168757229649,1.1034742358832,1.10593602029356,1.10683139082781,1.10111880098407,1.1067495342958,1.10366965888018,1.10661841928392,1.09438113382289,1.08228695410314,1.06718095317356,1.06822580401088,1.06590280099131,1.07192193855586,1.06863253017527
"18",1.08636344593996,1.0866379802253,1.09295260022931,1.10591146374926,1.11752809836421,1.11931086528484,1.11690540787244,1.11493216224872,1.11926768113891,1.12024814156636,1.11617601252268,1.11467225167724,1.11347982695955,1.08769963335065,1.06966010069292,1.07468039479509,1.0724179510972,1.06312553446041,1.05296819520632
"19",1.08529250405714,1.08563670782465,1.09807597693428,1.10459523901072,1.11635741929656,1.12259109800635,1.12097663648953,1.1193618787546,1.11176854037961,1.11110889645468,1.11891924036144,1.11508807666271,1.11715782218915,1.10025080102548,1.10926567401793,1.11554910166016,1.10061233913163,1.09877348267087,1.09538950649548
"20",1.09619004706799,1.09661030150227,1.08906884299605,1.09858640435942,1.10198459668805,1.09946859791302,1.0986551949362,1.10272478481927,1.11412022920866,1.11338009727907,1.10841481488403,1.10377244879961,1.11446995830232,1.11428941778112,1.11740242623816,1.11042037718241,1.08666241108484,1.07842236139059,1.05564320431151
"21",1.08230506892996,1.08283724913652,1.08285960948483,1.08778408603055,1.07691620250062,1.07322102468499,1.08806292043532,1.09443251392292,1.10308492929907,1.10773518604747,1.10702863436145,1.10554181023698,1.11172440959386,1.12338214263313,1.13035335008561,1.12748513172789,1.13083936965129,1.12071255938811,1.1203292559773
"22",1.0203979551037,1.02083572700123,1.02875547553839,1.04399145763558,1.05596026303489,1.06674078456056,1.06401617552272,1.06372570185759,1.07330845163151,1.08372200391679,1.08350799293099,1.06831150762077,1.07109758249766,1.07846975470457,1.09266091179125,1.10434405629927,1.12291458178579,1.11514160876232,1.11903671546346
"23",1.05798360670682,1.05792823614974,1.05806299168754,1.06259518143859,1.0409256029161,1.05549813192555,1.05186586192525,1.04093424010667,1.05880026217698,1.06575558364584,1.05667275376326,1.06480965819317,1.05398129670327,1.06807838865804,1.08025375880366,1.08236235237634,1.09851239876563,1.09793506863305,1.11643930287271
"24",1.07056532300243,1.07046667863228,1.06785887545691,1.0675422950172,1.04434455075879,1.03389131897611,1.0320794226834,1.034744476758,1.04736418497902,1.04996305152797,1.05238413146674,1.06941916226456,1.06680988344822,1.0720841801908,1.06877195438048,1.07199617979659,1.08023071590812,1.08919633667044,1.09535889449845
"25",1.08294384823486,1.08287251445354,1.06614766236468,1.06148440657267,1.03330971573738,1.02633195358125,1.01960004195746,1.02840277825595,1.02029854941984,1.03160678769165,1.03884757216692,1.04803965813196,1.05402875352202,1.06368721067558,1.06657618579349,1.06332224449886,1.070563540518,1.0836820514788,1.08980787229946
"26",1.08518552598872,1.08469531853253,1.08305376484362,1.08261065506871,1.08719822096533,1.08891500957574,1.07788723196211,1.07677864215969,1.05767850009011,1.05891794967818,1.06825320759771,1.06556318360838,1.05902384972994,1.06657582081085,1.06708732541334,1.07551375943923,1.07573311570339,1.07185693125753,1.0792122898151
"27",1.11110503157531,1.11059946571982,1.08165504660309,1.08179194666359,1.09972619379674,1.10296407459122,1.1036458807167,1.09768971430542,1.07727420370408,1.0686490454869,1.07498027140027,1.08021620542577,1.08228595972292,1.07521766117941,1.06873061169927,1.07161578542434,1.07020763138902,1.05905181761092,1.0718767450369
"28",1.11275257758891,1.11222113767574,1.12282840932208,1.1139838754474,1.12195952535507,1.10193196727338,1.10758973105003,1.10977752323571,1.11270627180148,1.09634752711899,1.09533929709211,1.09044769957729,1.09663311878958,1.08818929546633,1.0752698330778,1.06506519286487,1.06591782571288,1.07323000925694,1.07017620935758
"29",1.08905007034876,1.08870247055862,1.10013589294871,1.10153867079056,1.10200702226962,1.11193458610885,1.11200913110258,1.10926722647087,1.10517029827888,1.0812408593215,1.07176370610183,1.0697035261466,1.07393019056146,1.06500210813594,1.07469366578152,1.07831486998164,1.0686245903195,1.07086585399884,1.04888476359649
"30",1.07628121458262,1.07627366665089,1.08570866061895,1.09886713251873,1.09433008366689,1.0997113181175,1.09451131748648,1.08635100441359,1.09479854478514,1.07307707630127,1.07115712680204,1.08309156157871,1.07683936320908,1.06450298558498,1.0706820756444,1.08007077531016,1.08075313207234,1.08941215736345,1.08222205751305
"31",0.878682408683701,0.879093780157515,0.910526766658071,0.951380115542488,0.976165996733611,0.996667276543964,1.02001482728736,1.04204832633986,1.05668237841048,1.07282184685028,1.07948611939668,1.0772911279141,1.07097839045964,1.0755847541835,1.07563040208133,1.07819165250709,1.05883842919652,1.04012948593133,1.05021885775685
"32",0.975447663810087,0.975817489298373,0.967251962768332,0.964653833820989,0.971264358310167,0.972804041336232,0.992897624734981,0.996886953283153,1.01372970763894,1.02330238518466,1.03814494375021,1.05066024627537,1.05634752938361,1.07133135079786,1.07462596296793,1.06361279567857,1.07399977972467,1.08237896830165,1.06611758052092
