"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",97.9020000907477,94.8180339830459,71.8315751386214,103.742013842444,81.4757361862594,91.0378614629896,79.2467890407024,82.4347290322976,83.1855199246723,86.9170644029916,82.89517541923,91.424777923056,97.3672329534253,82.2571747385994,96.4126874619527,90.9929835470573,85.3592136014328,105.224627027235,87.4092752679656,82.6703534965359
"2",96.9030002127823,88.8712363455858,94.4593352272581,82.2186447489467,85.7014498367798,87.3302087115713,91.5539562136488,78.4660829341541,86.7039282263692,87.046837041697,90.9423810944334,94.5173878018197,77.7716181858854,94.2528280513171,84.2486079105552,87.2772607053555,103.628826879502,76.7144773810305,90.3073698995829,89.9399132153165
"3",96.9030002905102,92.5769946709363,91.2948934598185,87.1317087984819,93.1259579432742,90.4091341619754,88.8258875186957,81.3838351161072,86.6287475024189,91.265872813458,88.7032980642758,87.2417932626265,83.8853359225459,92.6502256115642,85.1297585813436,89.860997743832,93.6658564559018,94.4005341681266,81.3140026307513,82.9545891583612
"4",89.9100003339562,87.4581586743094,89.6961194766142,88.4220539578739,91.8458619904406,90.9240488988329,83.8811581642132,89.3655402307367,85.3167332372029,87.6572592858194,90.7760637407605,83.5930494571353,92.2441636428891,88.4777304310104,87.0073198238522,93.0426035406005,94.9165577525407,82.0284638919806,84.4358625272858,78.6038600362541
"5",88.9110003563181,89.8728717663017,84.0848658821856,89.04549958817,94.7016974979887,88.4835562128787,89.5448877480559,90.8539164217928,81.4593329622485,88.6074469520927,92.2262922383305,86.9449447158126,90.4233072488616,88.8065107393236,76.0152890150334,92.4285435029934,94.0547527389319,86.1835007346073,87.4680345533079,87.0586499672876
"6",92.9070003737262,89.4060345841424,88.9464900590394,88.4197823498719,94.9385630600427,89.4149186499847,91.7212870571063,83.9430855456435,90.9793215004197,89.3832067910489,82.4974403301386,79.7839838085148,86.8422738097602,76.2880622327908,92.9187977998361,90.126619741987,96.8103929942876,86.8729576398592,84.8314799156776,85.5162344105013
"7",92.9070003875477,86.8670462003557,78.215199673031,94.452625788011,85.280802780382,90.0617294466974,90.937288031245,83.222614047129,90.7903189787894,83.3807010467175,75.2601924868423,84.3237302465845,78.4731132797163,91.9089264861578,87.0296233199114,94.6341020529783,99.2161751238672,83.1127695920737,81.7105163072066,86.9742824883537
"8",90.9090003945739,78.6654269423719,99.5244813927427,87.1237168360984,95.6904893364616,85.0196303679201,90.1585941662082,87.961172584369,91.168159964659,78.1691472756409,90.8778741073172,83.1334417393329,86.4741382498685,88.3307180024344,87.5924290131837,96.9587280972784,92.9530634333076,85.7395042853858,94.8978855279963,90.8392787368677
"9",92.9070003996193,90.9731002118327,88.8442613295248,89.1457701076703,89.9064262259663,94.9743842158769,90.9245903944059,90.7750448618182,86.8016761815582,89.2822056713998,84.5681041388789,83.9262274944757,94.3682353136925,83.4492045544655,94.2474626806089,93.8803946688182,91.7755726634429,92.6507256416106,88.9658972788385,89.9453737293207
"10",92.9070004041799,86.7650503473,94.4664366552159,85.7215909339075,93.1777037734173,95.5296017498665,86.2974776631173,90.2421239958593,83.4356521233124,89.6239754064655,74.7513068513087,87.5419543132789,85.6505968012364,83.8241328492473,91.8221881503897,86.6008064241812,96.1941033811677,88.9162071159792,88.3519935559516,87.7109860029609
